"","comment","like","share"
"1",4,79,17
"2",5,130,29
"3",0,66,14
"4",58,1572,147
"5",19,325,49
"6",1,152,33
"7",3,249,27
"8",0,325,14
"9",0,161,31
"10",3,113,26
"11",0,233,19
"12",0,88,18
"13",0,90,14
"14",5,137,10
"15",2,577,20
"16",4,86,18
"17",2,40,12
"18",15,678,20
"19",4,54,17
"20",0,34,8
"21",3,66,12
"22",0,0,0
"23",0,16,2
"24",0,72,24
"25",3,99,19
"26",0,88,18
"27",10,412,72
"28",0,100,17
"29",36,523,63
"30",18,143,13
"31",33,107,22
"32",1,27,11
"33",2,155,47
"34",4,98,23
"35",2,56,17
"36",6,172,21
"37",0,96,17
"38",16,76,8
"39",11,227,31
"40",1,44,14
"41",7,216,39
"42",6,187,18
"43",7,26,3
"44",7,29,10
"45",0,47,11
"46",4,57,10
"47",4,174,36
"48",6,18,8
"49",0,77,15
"50",1,12,1
"51",1,48,9
"52",24,285,28
"53",9,202,31
"54",4,64,19
"55",4,66,13
"56",2,65,14
"57",2,164,54
"58",0,40,13
"59",3,76,11
"60",4,139,17
"61",8,101,14
"62",8,144,10
"63",10,179,13
"64",4,219,22
"65",2,60,7
"66",19,77,23
"67",0,48,7
"68",20,697,70
"69",0,53,17
"70",7,84,28
"71",7,146,9
"72",17,449,84
"73",3,226,44
"74",14,172,47
"75",2,99,13
"76",20,411,74
"77",0,0,0
"78",4,85,8
"79",0,56,8
"80",2,29,7
"81",2,86,13
"82",18,370,53
"83",5,190,57
"84",2,101,19
"85",2,99,16
"86",10,140,8
"87",2,130,31
"88",3,270,38
"89",3,30,6
"90",2,107,17
"91",13,331,77
"92",0,78,13
"93",9,301,32
"94",2,111,16
"95",2,124,22
"96",5,153,27
"97",3,51,11
"98",1,115,26
"99",7,310,61
"100",12,328,90
"101",0,0,0
"102",26,1505,95
"103",2,63,14
"104",0,13,4
"105",4,59,9
"106",42,955,139
"107",9,181,32
"108",17,193,28
"109",7,125,16
"110",4,217,50
"111",2,28,4
"112",0,NA,NA
"113",4,117,18
"114",2,79,16
"115",0,15,2
"116",0,4,2
"117",1,431,26
"118",0,7,0
"119",0,7,2
"120",0,6,2
"121",0,2,NA
"122",6,186,40
"123",1,1,2
"124",1,3,2
"125",0,7,NA
"126",0,7,2
"127",3,198,41
"128",0,9,1
"129",0,4,1
"130",0,3,0
"131",0,8,2
"132",0,7,3
"133",1,7,2
"134",0,11,1
"135",2,28,4
"136",0,56,12
"137",0,32,16
"138",4,32,3
"139",0,129,25
"140",4,77,19
"141",15,143,44
"142",2,227,36
"143",60,859,90
"144",10,377,60
"145",3,41,9
"146",6,76,14
"147",0,189,15
"148",0,80,14
"149",3,148,28
"150",0,24,11
"151",24,302,41
"152",2,166,32
"153",47,358,49
"154",7,161,25
"155",13,319,55
"156",0,54,16
"157",16,117,30
"158",1,115,21
"159",30,187,35
"160",1,84,13
"161",6,363,40
"162",6,244,32
"163",22,290,98
"164",4,243,41
"165",0,18,NA
"166",0,113,19
"167",2,77,5
"168",8,485,64
"169",144,1622,208
"170",6,99,16
"171",3,188,26
"172",2,30,6
"173",38,163,27
"174",6,179,40
"175",5,204,34
"176",2,165,22
"177",29,1047,98
"178",2,234,40
"179",7,250,42
"180",4,154,36
"181",20,150,29
"182",4,102,8
"183",1,226,44
"184",6,345,121
"185",11,68,11
"186",0,62,10
"187",5,223,35
"188",0,61,6
"189",1,104,12
"190",3,146,15
"191",2,102,15
"192",9,766,43
"193",0,63,7
"194",3,113,17
"195",6,442,42
"196",9,278,43
"197",2,64,7
"198",1,52,7
"199",0,30,2
"200",33,1155,102
"201",2,139,25
"202",0,40,5
"203",2,53,15
"204",4,220,19
"205",2,114,16
"206",0,39,3
"207",4,859,68
"208",5,137,20
"209",1,54,11
"210",2,74,22
"211",6,98,3
"212",2,264,21
"213",3,36,11
"214",1,11,3
"215",4,435,31
"216",2,114,10
"217",2,17,9
"218",41,15,1
"219",3,87,10
"220",16,227,28
"221",2,86,8
"222",6,179,27
"223",1,74,11
"224",18,332,54
"225",2,80,21
"226",9,95,17
"227",3,188,26
"228",6,109,11
"229",64,367,25
"230",9,102,19
"231",2,113,20
"232",0,94,20
"233",6,14,1
"234",1,43,10
"235",1,98,21
"236",3,13,1
"237",12,237,45
"238",4,112,23
"239",2,101,25
"240",10,145,31
"241",6,535,83
"242",4,118,22
"243",9,484,79
"244",18,315,76
"245",372,5172,790
"246",4,154,30
"247",0,73,15
"248",0,96,19
"249",1,98,19
"250",1,53,14
"251",4,71,10
"252",6,194,34
"253",6,226,42
"254",11,238,51
"255",10,755,58
"256",30,47,8
"257",2,126,32
"258",4,104,10
"259",10,167,26
"260",9,152,41
"261",0,128,15
"262",13,234,43
"263",2,61,16
"264",0,66,9
"265",7,529,60
"266",3,42,10
